date,symbol,rank,score_quote_vol,in_universe
2021-04-09,IOTA-USDT,28,2728443485,1
2021-04-09,HBAR-USDT,29,2559726677,1
2021-04-09,QTUM-USDT,30,2480127253,1
2021-04-09,ZIL-USDT,31,2341465770,0
2021-04-09,SNX-USDT,32,1847835635,0
2021-04-09,NEAR-USDT,33,1843444046,0
2021-04-09,ADA-USDT,34,1566662989,0
2021-04-09,COMP-USDT,35,1326752483,0
2021-04-10,BTC-USDT,1,67579396226,1
2021-04-10,ETH-USDT,2,24684531082,1
2021-04-10,DOGE-USDT,3,16856354382,1
2021-04-10,DOT-USDT,4,15597972655,1
2021-04-10,OKB-USDT,5,15381351483,1
2021-04-10,BCH-USDT,6,13865757831,1
2021-04-10,LTC-USDT,7,11661510268,1
2021-04-10,UNI-USDT,8,11215320021,1
2021-04-10,FIL-USDT,9,9721934808,1
2021-04-10,XLM-USDT,10,8841727530,1
2021-04-10,LINK-USDT,11,8738609546,1
2021-04-10,XRP-USDT,12,7462493355,1
2021-04-10,THETA-USDT,13,6629843144,1
2021-04-10,AAVE-USDT,14,6326319833,1
2021-04-10,GRT-USDT,15,5446531516,1
2021-04-10,AVAX-USDT,16,4811179844,1
2021-04-10,ATOM-USDT,17,4723455721,1
2021-04-10,ETC-USDT,18,4391298878,1
2021-04-10,EGLD-USDT,19,4269368919,1
2021-04-10,CRV-USDT,20,4237223253,1
2021-04-10,NEO-USDT,21,3835243076,1
2021-04-10,ALGO-USDT,22,3453671782,1
2021-04-10,TRX-USDT,23,3331963186,1
2021-04-10,MANA-USDT,24,3306321179,1
2021-04-10,SOL-USDT,25,3249587288,1
2021-04-10,XTZ-USDT,26,2971666169,1
2021-04-10,KSM-USDT,27,2875542480,1
2021-04-10,IOTA-USDT,28,2764854555,1
2021-04-10,HBAR-USDT,29,2579612096,1
2021-04-10,QTUM-USDT,30,2515219231,1
2021-04-10,ZIL-USDT,31,2344283169,0
2021-04-10,NEAR-USDT,32,1854203049,0
2021-04-10,SNX-USDT,33,1828018725,0
2021-04-10,ADA-USDT,34,1573427064,0
2021-04-10,COMP-USDT,35,1328947006,0
2021-04-11,BTC-USDT,1,66333359204,1
2021-04-11,ETH-USDT,2,23980358939,1
2021-04-11,DOGE-USDT,3,17408502420,1
2021-04-11,DOT-USDT,4,15501210815,1
2021-04-11,OKB-USDT,5,15326217522,1
2021-04-11,BCH-USDT,6,13566328036,1
2021-04-11,LTC-USDT,7,11406955334,1
2021-04-11,UNI-USDT,8,11207392487,1
2021-04-11,FIL-USDT,9,9827254559,1
2021-04-11,XLM-USDT,10,9145305376,1
2021-04-11,LINK-USDT,11,8705462180,1
2021-04-11,XRP-USDT,12,7696822257,1
2021-04-11,THETA-USDT,13,6658105597,1
2021-04-11,AAVE-USDT,14,6304384256,1
2021-04-11,GRT-USDT,15,5462867542,1
2021-04-11,AVAX-USDT,16,4839471589,1
2021-04-11,ATOM-USDT,17,4746123376,1
2021-04-11,EGLD-USDT,18,4374216525,1
2021-04-11,ETC-USDT,19,4351422440,1
2021-04-11,CRV-USDT,20,4256565391,1
2021-04-11,NEO-USDT,21,3806198745,1
2021-04-11,ALGO-USDT,22,3480577210,1
2021-04-11,MANA-USDT,23,3352691281,1
2021-04-11,TRX-USDT,24,3345136716,1
2021-04-11,SOL-USDT,25,3283413313,1
2021-04-11,XTZ-USDT,26,2977409941,1
2021-04-11,KSM-USDT,27,2885639238,1
2021-04-11,IOTA-USDT,28,2789671223,1
2021-04-11,HBAR-USDT,29,2627429632,1
2021-04-11,QTUM-USDT,30,2535901977,1
2021-04-11,ZIL-USDT,31,2331758787,0
2021-04-11,NEAR-USDT,32,1879800108,0
2021-04-11,SNX-USDT,33,1809694979,0
2021-04-11,ADA-USDT,34,1585474072,0
2021-04-11,COMP-USDT,35,1330240881,0
2021-04-12,BTC-USDT,1,65877674348,1
2021-04-12,ETH-USDT,2,23786675692,1
2021-04-12,DOGE-USDT,3,17592153143,1
2021-04-12,OKB-USDT,4,15609133839,1
2021-04-12,DOT-USDT,5,15538680736,1
2021-04-12,BCH-USDT,6,13429253226,1
2021-04-12,UNI-USDT,7,11484436378,1
2021-04-12,LTC-USDT,8,11382144003,1
2021-04-12,FIL-USDT,9,10001501596,1
2021-04-12,XLM-USDT,10,9149704000,1
2021-04-12,LINK-USDT,11,8695127664,1
2021-04-12,XRP-USDT,12,7853131768,1
2021-04-12,THETA-USDT,13,6692214077,1
2021-04-12,AAVE-USDT,14,6367617350,1
2021-04-12,GRT-USDT,15,5552779699,1
2021-04-12,AVAX-USDT,16,4903240166,1
2021-04-12,ATOM-USDT,17,4797196703,1
2021-04-12,EGLD-USDT,18,4438417308,1
2021-04-12,ETC-USDT,19,4353700726,1
2021-04-12,CRV-USDT,20,4283792280,1
2021-04-12,NEO-USDT,21,3829890198,1
2021-04-12,ALGO-USDT,22,3517023913,1
2021-04-12,TRX-USDT,23,3412028972,1
2021-04-12,MANA-USDT,24,3410033952,1
2021-04-12,SOL-USDT,25,3327852513,1
2021-04-12,XTZ-USDT,26,2994222741,1
2021-04-12,KSM-USDT,27,2915792445,1
2021-04-12,IOTA-USDT,28,2806207112,1
2021-04-12,HBAR-USDT,29,2659061179,1
2021-04-12,QTUM-USDT,30,2565782649,1
2021-04-12,ZIL-USDT,31,2333060908,0
2021-04-12,NEAR-USDT,32,1904210018,0
2021-04-12,SNX-USDT,33,1778720325,0
2021-04-12,ADA-USDT,34,1607797726,0
2021-04-12,COMP-USDT,35,1337627644,0
2021-04-13,BTC-USDT,1,65264792140,1
2021-04-13,ETH-USDT,2,23746281116,1
2021-04-13,DOGE-USDT,3,18273345015,1
2021-04-13,OKB-USDT,4,15735909338,1
2021-04-13,DOT-USDT,5,15529996599,1
2021-04-13,BCH-USDT,6,13407861052,1
2021-04-13,UNI-USDT,7,11617438552,1
2021-04-13,LTC-USDT,8,11494004577,1
2021-04-13,FIL-USDT,9,10152707977,1
2021-04-13,XLM-USDT,10,9380521833,1
2021-04-13,LINK-USDT,11,8724436451,1
2021-04-13,XRP-USDT,12,8269366164,1
2021-04-13,THETA-USDT,13,6759535695,1
2021-04-13,AAVE-USDT,14,6404903090,1
2021-04-13,GRT-USDT,15,5593305943,1
2021-04-13,AVAX-USDT,16,4953785273,1
2021-04-13,ATOM-USDT,17,4866499219,1
2021-04-13,EGLD-USDT,18,4475768142,1
2021-04-13,ETC-USDT,19,4390777028,1
2021-04-13,CRV-USDT,20,4311767723,1
2021-04-13,NEO-USDT,21,3866449447,1
2021-04-13,ALGO-USDT,22,3544021696,1
2021-04-13,TRX-USDT,23,3527737102,1
2021-04-13,MANA-USDT,24,3437099499,1
2021-04-13,SOL-USDT,25,3362498859,1
2021-04-13,XTZ-USDT,26,3021748268,1
2021-04-13,KSM-USDT,27,2931070555,1
2021-04-13,IOTA-USDT,28,2839174586,1
2021-04-13,HBAR-USDT,29,2702561710,1
2021-04-13,QTUM-USDT,30,2597115710,1
2021-04-13,ZIL-USDT,31,2341447022,0
2021-04-13,NEAR-USDT,32,1924639819,0
2021-04-13,SNX-USDT,33,1750168731,0
2021-04-13,ADA-USDT,34,1648241422,0
2021-04-13,COMP-USDT,35,1345275322,0
2021-04-14,BTC-USDT,1,65257888899,1
2021-04-14,ETH-USDT,2,23741360128,1
2021-04-14,DOGE-USDT,3,20421523266,1
2021-04-14,OKB-USDT,4,15936427377,1
2021-04-14,DOT-USDT,5,15376596114,1
2021-04-14,BCH-USDT,6,13607000179,1
2021-04-14,UNI-USDT,7,11695400376,1
2021-04-14,LTC-USDT,8,11678743813,1
2021-04-14,FIL-USDT,9,10380118549,1
2021-04-14,XLM-USDT,10,9525683517,1
2021-04-14,LINK-USDT,11,8851410516,1
2021-04-14,XRP-USDT,12,8796731781,1
2021-04-14,THETA-USDT,13,6850277663,1
2021-04-14,AAVE-USDT,14,6468579761,1
2021-04-14,GRT-USDT,15,5654444980,1
2021-04-14,AVAX-USDT,16,5120503309,1
2021-04-14,ATOM-USDT,17,4999803721,1
2021-04-14,EGLD-USDT,18,4532502165,1
2021-04-14,ETC-USDT,19,4443624358,1
2021-04-14,CRV-USDT,20,4347637542,1
2021-04-14,NEO-USDT,21,3927152947,1
2021-04-14,TRX-USDT,22,3722114848,1
2021-04-14,ALGO-USDT,23,3574092997,1
2021-04-14,MANA-USDT,24,3462219872,1
2021-04-14,SOL-USDT,25,3418924421,1
2021-04-14,XTZ-USDT,26,3066653947,1
2021-04-14,KSM-USDT,27,2983788540,1
2021-04-14,IOTA-USDT,28,2874930150,1
2021-04-14,HBAR-USDT,29,2766161147,1
2021-04-14,QTUM-USDT,30,2651065454,1
2021-04-14,ZIL-USDT,31,2350637013,0
2021-04-14,NEAR-USDT,32,1949106389,0
2021-04-14,ADA-USDT,33,1758589393,0
2021-04-14,SNX-USDT,34,1750731575,0
2021-04-14,COMP-USDT,35,1354869060,0
2021-04-15,BTC-USDT,1,65098921305,1
2021-04-15,ETH-USDT,2,23564239751,1
2021-04-15,DOGE-USDT,3,22607847175,1
2021-04-15,OKB-USDT,4,16013565401,1
2021-04-15,DOT-USDT,5,15162923319,1
2021-04-15,BCH-USDT,6,13674441098,1
2021-04-15,UNI-USDT,7,11766855165,1
2021-04-15,LTC-USDT,8,11753391620,1
2021-04-15,FIL-USDT,9,10519571527,1
2021-04-15,XLM-USDT,10,9556237698,1
2021-04-15,XRP-USDT,11,9052454459,1
2021-04-15,LINK-USDT,12,8845728771,1
2021-04-15,THETA-USDT,13,6885961709,1
2021-04-15,AAVE-USDT,14,6567083604,1
2021-04-15,GRT-USDT,15,5678936503,1
2021-04-15,AVAX-USDT,16,5212195630,1
2021-04-15,ATOM-USDT,17,5023558517,1
2021-04-15,ETC-USDT,18,4625032568,1
2021-04-15,EGLD-USDT,19,4564186177,1
2021-04-15,CRV-USDT,20,4396024596,1
2021-04-15,NEO-USDT,21,3958040417,1
2021-04-15,TRX-USDT,22,3845359141,1
2021-04-15,ALGO-USDT,23,3596955876,1
2021-04-15,MANA-USDT,24,3524342725,1
2021-04-15,SOL-USDT,25,3452479504,1
2021-04-15,XTZ-USDT,26,3087040444,1
2021-04-15,KSM-USDT,27,3015317351,1
2021-04-15,IOTA-USDT,28,2887918851,1
2021-04-15,HBAR-USDT,29,2800513193,1
2021-04-15,QTUM-USDT,30,2693427691,1
2021-04-15,ZIL-USDT,31,2367798942,0
2021-04-15,NEAR-USDT,32,1958191820,0
2021-04-15,ADA-USDT,33,1786546289,0
2021-04-15,SNX-USDT,34,1748866997,0
2021-04-15,COMP-USDT,35,1386271760,0
2021-04-16,BTC-USDT,1,65323945959,1
2021-04-16,DOGE-USDT,2,31070271231,1
2021-04-16,ETH-USDT,3,23600262475,1
2021-04-16,OKB-USDT,4,16130426811,1
2021-04-16,DOT-USDT,5,14680524358,1
2021-04-16,BCH-USDT,6,14266415985,1
2021-04-16,LTC-USDT,7,12124308858,1
2021-04-16,UNI-USDT,8,11778598489,1
2021-04-16,FIL-USDT,9,10908134835,1
2021-04-16,XLM-USDT,10,9611608580,1
2021-04-16,XRP-USDT,11,9382217631,1
2021-04-16,LINK-USDT,12,8873104431,1
2021-04-16,THETA-USDT,13,7249169113,1
2021-04-16,AAVE-USDT,14,6589465467,1
2021-04-16,GRT-USDT,15,5662914604,1
2021-04-16,ETC-USDT,16,5360208581,1
2021-04-16,AVAX-USDT,17,5249962883,1
2021-04-16,ATOM-USDT,18,5020377457,1
2021-04-16,EGLD-USDT,19,4597231238,1
2021-04-16,CRV-USDT,20,4519858095,1
2021-04-16,NEO-USDT,21,4143634915,1
2021-04-16,TRX-USDT,22,4026190137,1
2021-04-16,ALGO-USDT,23,3615093411,1
2021-04-16,MANA-USDT,24,3609227770,1
2021-04-16,SOL-USDT,25,3482835154,1
2021-04-16,XTZ-USDT,26,3151087690,1
2021-04-16,KSM-USDT,27,3035644729,1
2021-04-16,IOTA-USDT,28,2982935977,1
2021-04-16,HBAR-USDT,29,2838845169,1
2021-04-16,QTUM-USDT,30,2794537656,1
2021-04-16,ZIL-USDT,31,2401205320,0
2021-04-16,NEAR-USDT,32,1970842460,0
2021-04-16,ADA-USDT,33,1816108163,0
2021-04-16,SNX-USDT,34,1741929898,0
2021-04-16,COMP-USDT,35,1429005276,0
2021-04-17,BTC-USDT,1,65484522090,1
2021-04-17,DOGE-USDT,2,34512146716,1
2021-04-17,ETH-USDT,3,23549460667,1
2021-04-17,OKB-USDT,4,16215264048,1
2021-04-17,BCH-USDT,5,14767038857,1
2021-04-17,DOT-USDT,6,14533070203,1
2021-04-17,LTC-USDT,7,12423995288,1
2021-04-17,UNI-USDT,8,11774941334,1
2021-04-17,FIL-USDT,9,11064015048,1
2021-04-17,XLM-USDT,10,9602216617,1
2021-04-17,XRP-USDT,11,9571512280,1
