pair,entry,exit,r,pct,bars_held,regime,fold,exit_reason
UNI-USDT,2023-11-22,2023-11-25,0.620,0.0422,15,bull,2023-H2,time
ADA-USDT,2023-11-24,2023-11-26,-0.534,-0.0252,15,bull,2023-H2,time
GRT-USDT,2023-11-24,2023-11-27,-0.314,-0.0204,15,bull,2023-H2,time
SUI-USDT,2023-11-25,2023-11-26,-1.084,-0.0803,7,bull,2023-H2,stop
TRX-USDT,2023-11-26,2023-11-27,-1.120,-0.0259,6,bull,2023-H2,stop
DOT-USDT,2023-11-30,2023-12-03,0.155,0.0059,15,bull,2023-H2,time
DOGE-USDT,2023-11-30,2023-12-10,4.059,0.1571,58,bull,2023-H2,stop
AAVE-USDT,2023-12-01,2023-12-04,0.162,0.0062,17,bull,2023-H2,stop
SOL-USDT,2023-12-02,2023-12-04,-0.376,-0.0189,15,bull,2023-H2,time
LINK-USDT,2023-12-02,2023-12-04,-1.068,-0.0449,9,bull,2023-H2,stop
ALGO-USDT,2023-12-02,2023-12-11,6.248,0.2180,49,bull,2023-H2,stop
SHIB-USDT,2023-12-03,2023-12-04,-1.091,-0.0380,1,bull,2023-H2,stop
NEAR-USDT,2023-12-04,2023-12-04,-1.101,-0.0480,1,bull,2023-H2,stop
MANA-USDT,2023-12-04,2023-12-04,-1.145,-0.0363,0,bull,2023-H2,stop
BTC-USDT,2023-12-04,2023-12-08,1.453,0.0350,23,bull,2023-H2,signal
NEAR-USDT,2023-12-05,2023-12-07,0.070,0.0044,15,bull,2023-H2,time
AVAX-USDT,2023-12-05,2023-12-11,4.328,0.2803,31,bull,2023-H2,stop
SHIB-USDT,2023-12-06,2023-12-08,0.239,0.0165,15,bull,2023-H2,time
SOL-USDT,2023-12-08,2023-12-10,0.757,0.0533,14,bull,2023-H2,stop
NEAR-USDT,2023-12-09,2023-12-11,-1.063,-0.0717,11,bull,2023-H2,stop
SUI-USDT,2023-12-19,2023-12-20,-0.752,-0.0583,2,bull,2023-H2,signal
NEAR-USDT,2023-12-20,2023-12-26,6.347,0.5109,37,bull,2023-H2,regime
SUI-USDT,2023-12-20,2023-12-22,-0.756,-0.0690,11,bull,2023-H2,signal
SOL-USDT,2023-12-20,2023-12-26,4.928,0.3337,34,bull,2023-H2,regime
DOT-USDT,2023-12-21,2023-12-26,3.643,0.2000,30,bull,2023-H2,regime
FIL-USDT,2023-12-22,2023-12-23,-1.068,-0.0662,6,bull,2023-H2,stop
ARB-USDT,2023-12-22,2023-12-26,-0.367,-0.0251,20,bull,2023-H2,stop
FIL-USDT,2023-12-25,2023-12-26,-0.498,-0.0308,7,bull,2023-H2,regime
APT-USDT,2023-12-25,2023-12-26,-0.273,-0.0205,4,bull,2023-H2,regime
ARB-USDT,2024-01-01,2024-01-03,-0.306,-0.0238,10,bull,2024-H1,stop
SUI-USDT,2024-01-01,2024-01-03,-0.133,-0.0098,10,bull,2024-H1,stop
NEAR-USDT,2024-01-02,2024-01-03,-0.773,-0.0618,4,bull,2024-H1,signal
APT-USDT,2024-01-04,2024-01-05,-1.041,-0.0954,6,bull,2024-H1,stop
ARB-USDT,2024-01-04,2024-01-06,-1.025,-0.1332,9,bull,2024-H1,stop
BTC-USDT,2024-01-08,2024-01-10,-0.305,-0.0099,11,bull,2024-H1,stop
ETH-USDT,2024-01-08,2024-01-12,4.361,0.1403,24,bull,2024-H1,regime
OP-USDT,2024-01-10,2024-01-12,0.885,0.0973,15,bull,2024-H1,time
SUI-USDT,2024-01-11,2024-01-12,2.726,0.2745,9,bull,2024-H1,regime
BCH-USDT,2024-01-12,2024-01-12,-0.885,-0.0690,3,bull,2024-H1,regime
TRX-USDT,2024-01-26,2024-01-27,-1.163,-0.0236,7,bear,2024-H1,stop
BTC-USDT,2024-01-26,2024-01-29,0.527,0.0155,15,bear,2024-H1,time
XLM-USDT,2024-01-26,2024-01-29,-0.640,-0.0169,15,bear,2024-H1,time
BCH-USDT,2024-01-27,2024-01-28,-1.127,-0.0348,6,bear,2024-H1,stop
AVAX-USDT,2024-01-28,2024-01-30,0.090,0.0052,15,bear,2024-H1,time
APT-USDT,2024-01-29,2024-01-31,-1.085,-0.0563,13,bear,2024-H1,stop
DOGE-USDT,2024-01-29,2024-01-30,0.157,0.0052,8,bear,2024-H1,signal
SOL-USDT,2024-01-29,2024-01-31,-0.282,-0.0152,10,bear,2024-H1,stop
SUI-USDT,2024-01-29,2024-02-01,-0.561,-0.0482,15,range,2024-H1,time
ADA-USDT,2024-01-30,2024-01-31,-1.069,-0.0424,5,range,2024-H1,stop
ARB-USDT,2024-01-30,2024-01-31,-1.075,-0.0538,3,range,2024-H1,stop
LINK-USDT,2024-02-01,2024-02-04,1.638,0.0926,19,bear,2024-H1,regime
CRV-USDT,2024-02-03,2024-02-04,-1.091,-0.0493,1,range,2024-H1,stop
LINK-USDT,2024-02-05,2024-02-05,-0.397,-0.0228,1,bull,2024-H1,regime
UNI-USDT,2024-02-06,2024-02-07,0.208,0.0064,3,bull,2024-H1,regime
OP-USDT,2024-02-07,2024-02-07,-0.430,-0.0205,1,bull,2024-H1,regime
TRX-USDT,2024-02-07,2024-02-08,-1.096,-0.0311,3,bull,2024-H1,stop
OP-USDT,2024-02-07,2024-02-10,-0.053,-0.0029,15,bull,2024-H1,time
ADA-USDT,2024-02-08,2024-02-09,0.254,0.0095,5,bull,2024-H1,signal
ETC-USDT,2024-02-08,2024-02-09,0.540,0.0183,7,bull,2024-H1,signal
ETH-USDT,2024-02-08,2024-02-11,1.202,0.0274,16,bull,2024-H1,signal
BTC-USDT,2024-02-09,2024-02-17,4.204,0.0961,50,bull,2024-H1,stop
SUI-USDT,2024-02-09,2024-02-11,0.269,0.0160,11,bull,2024-H1,stop
AVAX-USDT,2024-02-09,2024-02-14,0.897,0.0339,26,bull,2024-H1,signal
LINK-USDT,2024-02-11,2024-02-13,0.076,0.0037,14,bull,2024-H1,stop
BCH-USDT,2024-02-11,2024-02-13,-0.447,-0.0169,13,bull,2024-H1,stop
UNI-USDT,2024-02-11,2024-02-12,-1.070,-0.0309,1,bull,2024-H1,stop
NEAR-USDT,2024-02-12,2024-02-15,0.341,0.0201,15,bull,2024-H1,time
OP-USDT,2024-02-12,2024-02-15,0.668,0.0346,15,bull,2024-H1,time
ARB-USDT,2024-02-14,2024-02-16,-1.041,-0.0471,11,bull,2024-H1,signal
SOL-USDT,2024-02-14,2024-02-16,-1.058,-0.0514,10,bull,2024-H1,stop
APT-USDT,2024-02-15,2024-02-16,-1.062,-0.0616,3,bull,2024-H1,stop
ETH-USDT,2024-02-15,2024-02-17,-1.078,-0.0363,11,bull,2024-H1,stop
ADA-USDT,2024-02-15,2024-02-17,-1.061,-0.0483,10,bull,2024-H1,stop
GRT-USDT,2024-02-16,2024-02-17,-1.092,-0.0466,5,bull,2024-H1,stop
FIL-USDT,2024-02-17,2024-02-17,-1.096,-0.0587,1,bull,2024-H1,stop
GRT-USDT,2024-02-17,2024-02-20,3.084,0.1668,16,bull,2024-H1,stop
ADA-USDT,2024-02-18,2024-02-20,-0.441,-0.0212,15,bull,2024-H1,time
NEAR-USDT,2024-02-18,2024-02-20,-1.066,-0.0628,11,bull,2024-H1,stop
ETH-USDT,2024-02-19,2024-02-21,0.120,0.0038,15,bull,2024-H1,regime
FIL-USDT,2024-02-19,2024-02-21,2.297,0.1359,13,bull,2024-H1,regime
OP-USDT,2024-02-20,2024-02-21,-1.057,-0.0694,4,bull,2024-H1,stop
TRX-USDT,2024-02-21,2024-02-21,-0.678,-0.0118,2,bull,2024-H1,regime
NEAR-USDT,2024-02-26,2024-02-28,-1.052,-0.0784,12,bull,2024-H1,stop
ETH-USDT,2024-02-26,2024-03-02,2.760,0.0908,26,bull,2024-H1,signal
DOGE-USDT,2024-02-27,2024-02-28,-1.060,-0.0484,1,bull,2024-H1,stop
DOGE-USDT,2024-02-28,2024-03-03,3.503,0.1907,21,bull,2024-H1,stop
SHIB-USDT,2024-02-29,2024-03-10,12.901,1.2132,62,bull,2024-H1,stop
FIL-USDT,2024-02-29,2024-03-01,-0.118,-0.0109,5,bull,2024-H1,signal
MANA-USDT,2024-02-29,2024-03-03,0.326,0.0241,15,bull,2024-H1,stop
UNI-USDT,2024-02-29,2024-03-03,0.387,0.0410,15,bull,2024-H1,time
GRT-USDT,2024-03-01,2024-03-03,-0.023,-0.0021,8,bull,2024-H1,signal
NEAR-USDT,2024-03-04,2024-03-05,-0.700,-0.0628,6,bull,2024-H1,signal
SAND-USDT,2024-03-05,2024-03-05,-1.048,-0.0984,1,bull,2024-H1,stop
APT-USDT,2024-03-06,2024-03-08,-0.300,-0.0320,15,bull,2024-H1,time
DOGE-USDT,2024-03-09,2024-03-12,-0.210,-0.0275,15,bull,2024-H1,time
SAND-USDT,2024-03-10,2024-03-11,-1.046,-0.0877,3,bull,2024-H1,stop
NEAR-USDT,2024-03-11,2024-03-14,1.788,0.1842,22,bull,2024-H1,regime
ALGO-USDT,2024-03-12,2024-03-14,-0.682,-0.0597,12,bull,2024-H1,regime
AAVE-USDT,2024-03-13,2024-03-14,-1.054,-0.0776,7,bull,2024-H1,stop
AVAX-USDT,2024-03-14,2024-03-14,-1.035,-0.0886,2,bull,2024-H1,stop
BCH-USDT,2024-03-24,2024-03-27,0.242,0.0199,15,bull,2024-H1,time
SOL-USDT,2024-03-25,2024-03-26,-0.239,-0.0157,6,bull,2024-H1,signal
DOGE-USDT,2024-03-25,2024-03-28,0.730,0.0612,15,bull,2024-H1,time
APT-USDT,2024-03-26,2024-03-28,0.016,0.0012,12,bull,2024-H1,stop
NEAR-USDT,2024-03-26,2024-03-27,-0.671,-0.0495,7,bull,2024-H1,signal
SHIB-USDT,2024-03-26,2024-03-29,0.359,0.0267,15,bull,2024-H1,time
SUI-USDT,2024-03-26,2024-03-29,0.716,0.0470,16,bull,2024-H1,stop
BCH-USDT,2024-03-27,2024-03-31,1.374,0.1066,21,bull,2024-H1,stop
LTC-USDT,2024-03-29,2024-04-01,0.256,0.0150,18,bull,2024-H1,regime
BCH-USDT,2024-04-01,2024-04-01,-0.396,-0.0277,3,bull,2024-H1,regime
TRX-USDT,2024-04-06,2024-04-10,0.251,0.0038,19,bull,2024-H1,stop
DOGE-USDT,2024-04-07,2024-04-07,0.045,0.0031,4,bull,2024-H1,signal
LTC-USDT,2024-04-07,2024-04-09,-1.066,-0.0641,14,bull,2024-H1,stop
BTC-USDT,2024-04-08,2024-04-09,-1.086,-0.0324,4,range,2024-H1,stop
ETH-USDT,2024-04-08,2024-04-09,-1.072,-0.0379,6,range,2024-H1,stop
NEAR-USDT,2024-04-08,2024-04-10,-1.073,-0.0645,9,range,2024-H1,stop
ETC-USDT,2024-04-08,2024-04-09,-1.082,-0.0551,4,range,2024-H1,stop
AAVE-USDT,2024-04-09,2024-04-09,-1.116,-0.0494,2,range,2024-H1,stop
SHIB-USDT,2024-04-20,2024-04-23,0.428,0.0356,15,bear,2024-H1,time
XLM-USDT,2024-04-20,2024-04-23,0.027,0.0014,15,bear,2024-H1,time
NEAR-USDT,2024-04-22,2024-04-24,0.406,0.0298,15,bear,2024-H1,time
ALGO-USDT,2024-04-24,2024-04-24,1.379,0.0771,4,bear,2024-H1,regime
SAND-USDT,2024-04-24,2024-04-24,-1.078,-0.0512,0,bear,2024-H1,stop
DOGE-USDT,2024-05-04,2024-05-07,-0.755,-0.0547,15,bear,2024-H1,time
ATOM-USDT,2024-05-05,2024-05-08,-0.587,-0.0242,15,bear,2024-H1,time
GRT-USDT,2024-05-05,2024-05-08,-0.733,-0.0478,15,bear,2024-H1,time
AVAX-USDT,2024-05-06,2024-05-07,-1.076,-0.0521,3,bear,2024-H1,stop
TRX-USDT,2024-05-08,2024-05-09,-0.041,-0.0008,3,bear,2024-H1,regime
TRX-USDT,2024-05-09,2024-05-10,-0.755,-0.0148,5,bear,2024-H1,signal
GRT-USDT,2024-05-10,2024-05-10,-0.295,-0.0200,4,bear,2024-H1,regime
DOGE-USDT,2024-05-13,2024-05-14,-0.060,-0.0035,4,bear,2024-H1,regime
GRT-USDT,2024-05-15,2024-05-19,0.623,0.0422,22,range,2024-H1,stop
SOL-USDT,2024-05-15,2024-05-19,2.268,0.1180,23,range,2024-H1,stop
BTC-USDT,2024-05-15,2024-05-19,0.927,0.0263,24,range,2024-H1,stop
LINK-USDT,2024-05-17,2024-05-22,1.095,0.0579,33,range,2024-H1,stop
ADA-USDT,2024-05-17,2024-05-19,-0.835,-0.0290,15,range,2024-H1,time
SOL-USDT,2024-05-20,2024-05-23,-0.488,-0.0230,18,bull,2024-H1,stop
GRT-USDT,2024-05-20,2024-05-23,0.415,0.0196,17,bull,2024-H1,stop
UNI-USDT,2024-05-20,2024-05-23,1.111,0.0604,17,bull,2024-H1,stop
ETH-USDT,2024-05-20,2024-05-23,2.797,0.1020,18,bull,2024-H1,regime
BCH-USDT,2024-05-21,2024-05-23,-1.071,-0.0560,13,bull,2024-H1,stop
ETC-USDT,2024-05-23,2024-05-23,-0.347,-0.0212,2,bull,2024-H1,regime
LINK-USDT,2024-05-24,2024-05-24,-0.591,-0.0371,1,bull,2024-H1,regime
UNI-USDT,2024-05-24,2024-05-27,1.168,0.1049,13,bull,2024-H1,regime
AAVE-USDT,2024-05-25,2024-05-27,0.357,0.0252,11,bull,2024-H1,regime
ETH-USDT,2024-05-27,2024-05-28,-0.826,-0.0312,3,bull,2024-H1,regime
LINK-USDT,2024-05-27,2024-05-28,-0.596,-0.0280,2,bull,2024-H1,regime
SAND-USDT,2024-06-03,2024-06-04,-1.091,-0.0470,6,bull,2024-H1,stop
BTC-USDT,2024-06-04,2024-06-07,0.226,0.0052,15,bull,2024-H1,time
FIL-USDT,2024-06-04,2024-06-07,-0.096,-0.0033,15,bull,2024-H1,time
SOL-USDT,2024-06-04,2024-06-06,0.218,0.0068,11,bull,2024-H1,stop
SHIB-USDT,2024-06-05,2024-06-07,-0.099,-0.0051,14,bull,2024-H1,signal
INJ-USDT,2024-06-05,2024-06-07,0.758,0.0394,14,bull,2024-H1,stop
SUI-USDT,2024-06-05,2024-06-07,0.042,0.0015,14,bull,2024-H1,stop
BCH-USDT,2024-06-07,2024-06-07,-1.130,-0.0409,2,bull,2024-H1,stop
ADA-USDT,2024-06-07,2024-06-07,-1.120,-0.0316,1,bull,2024-H1,stop
FIL-USDT,2024-06-07,2024-06-07,-1.097,-0.0442,1,bull,2024-H1,stop
INJ-USDT,2024-06-08,2024-06-08,-0.214,-0.0184,2,bull,2024-H1,regime
INJ-USDT,2024-06-12,2024-06-12,-0.782,-0.0778,1,bull,2024-H1,regime
AVAX-USDT,2024-07-01,2024-07-02,-1.066,-0.0478,5,bear,2024-H2,stop
TRX-USDT,2024-07-01,2024-07-03,0.474,0.0070,10,bear,2024-H2,regime
DOT-USDT,2024-07-02,2024-07-03,-0.786,-0.0305,2,bear,2024-H2,regime
SOL-USDT,2024-07-02,2024-07-03,-0.405,-0.0177,2,bear,2024-H2,regime
TRX-USDT,2024-07-11,2024-07-11,-0.061,-0.0011,2,bear,2024-H2,regime
XLM-USDT,2024-07-12,2024-07-16,3.170,0.1079,22,bear,2024-H2,stop
XRP-USDT,2024-07-12,2024-07-18,4.520,0.1820,35,bear,2024-H2,stop
ADA-USDT,2024-07-12,2024-07-16,1.022,0.0446,22,bear,2024-H2,stop
SHIB-USDT,2024-07-14,2024-07-17,2.406,0.1142,16,bear,2024-H2,signal
SUI-USDT,2024-07-14,2024-07-18,0.537,0.0285,24,bear,2024-H2,stop
OP-USDT,2024-07-15,2024-07-16,-1.070,-0.0527,8,bear,2024-H2,stop
NEAR-USDT,2024-07-16,2024-07-19,-0.351,-0.0204,15,range,2024-H2,time
INJ-USDT,2024-07-17,2024-07-19,0.409,0.0238,15,range,2024-H2,time
OP-USDT,2024-07-19,2024-07-21,-0.273,-0.0153,8,bull,2024-H2,signal
APT-USDT,2024-07-19,2024-07-22,-0.243,-0.0131,15,bull,2024-H2,time
INJ-USDT,2024-07-20,2024-07-22,-0.499,-0.0342,15,bull,2024-H2,time
DOGE-USDT,2024-07-20,2024-07-21,-1.059,-0.0526,6,bull,2024-H2,stop
SOL-USDT,2024-07-20,2024-07-23,0.112,0.0049,16,bull,2024-H2,stop
AVAX-USDT,2024-07-21,2024-07-23,-0.644,-0.0301,11,bull,2024-H2,stop
DOGE-USDT,2024-07-22,2024-07-23,-1.059,-0.0604,9,bull,2024-H2,stop
XRP-USDT,2024-07-22,2024-07-23,-0.533,-0.0298,8,bull,2024-H2,regime
XRP-USDT,2024-07-24,2024-07-24,-0.214,-0.0117,2,bull,2024-H2,regime
BTC-USDT,2024-07-26,2024-07-29,0.810,0.0239,15,bull,2024-H2,time
BCH-USDT,2024-07-27,2024-07-30,2.652,0.1090,14,bull,2024-H2,regime
DOGE-USDT,2024-07-27,2024-07-28,-1.057,-0.0557,2,bull,2024-H2,stop
SOL-USDT,2024-07-29,2024-07-29,-1.064,-0.0502,4,bull,2024-H2,stop
APT-USDT,2024-08-10,2024-08-11,-1.055,-0.0679,7,bear,2024-H2,stop
CRV-USDT,2024-08-12,2024-08-14,2.006,0.1329,14,bear,2024-H2,stop
APT-USDT,2024-08-12,2024-08-13,-1.059,-0.0698,4,bear,2024-H2,stop
APT-USDT,2024-08-13,2024-08-14,-0.599,-0.0415,6,bear,2024-H2,regime
AAVE-USDT,2024-08-15,2024-08-15,-0.558,-0.0352,1,bear,2024-H2,regime
TRX-USDT,2024-08-20,2024-08-20,2.572,0.0547,4,bear,2024-H2,regime
AAVE-USDT,2024-08-20,2024-08-20,-0.239,-0.0156,3,bear,2024-H2,regime
ALGO-USDT,2024-08-20,2024-08-20,-0.427,-0.0157,1,bear,2024-H2,regime
TRX-USDT,2024-08-20,2024-08-21,0.664,0.0251,1,bear,2024-H2,regime
AAVE-USDT,2024-08-21,2024-08-23,0.088,0.0058,11,bear,2024-H2,stop
AVAX-USDT,2024-08-21,2024-08-26,2.818,0.1261,34,bear,2024-H2,stop
CRV-USDT,2024-08-21,2024-08-23,-0.466,-0.0320,12,bear,2024-H2,signal
TRX-USDT,2024-08-21,2024-08-21,-1.063,-0.0504,1,bear,2024-H2,stop
UNI-USDT,2024-08-21,2024-08-23,0.655,0.0308,11,bear,2024-H2,stop
ALGO-USDT,2024-08-21,2024-08-26,1.964,0.0743,26,bear,2024-H2,stop
GRT-USDT,2024-08-23,2024-08-26,0.332,0.0143,19,bear,2024-H2,stop
AAVE-USDT,2024-08-24,2024-08-25,-1.064,-0.0724,7,range,2024-H2,stop
TRX-USDT,2024-08-25,2024-08-27,-0.568,-0.0238,12,range,2024-H2,regime
UNI-USDT,2024-09-09,2024-09-12,0.097,0.0044,15,bear,2024-H2,time
INJ-USDT,2024-09-10,2024-09-13,0.319,0.0177,18,bear,2024-H2,stop
AAVE-USDT,2024-09-10,2024-09-12,-1.065,-0.0637,11,bear,2024-H2,stop
SUI-USDT,2024-09-12,2024-09-14,0.060,0.0041,15,bear,2024-H2,time
NEAR-USDT,2024-09-12,2024-09-15,-0.349,-0.0175,15,bear,2024-H2,time
UNI-USDT,2024-09-13,2024-09-14,-1.080,-0.0510,4,range,2024-H2,stop
SUI-USDT,2024-09-15,2024-09-17,-0.191,-0.0124,12,range,2024-H2,regime
DOT-USDT,2024-09-15,2024-09-15,-1.147,-0.0317,1,range,2024-H2,stop
SUI-USDT,2024-09-17,2024-09-22,2.818,0.2114,28,range,2024-H2,stop
ATOM-USDT,2024-09-18,2024-09-28,3.619,0.1444,57,range,2024-H2,stop
INJ-USDT,2024-09-19,2024-09-21,0.500,0.0345,15,bull,2024-H2,time
AVAX-USDT,2024-09-20,2024-09-22,-0.823,-0.0389,15,bull,2024-H2,time
APT-USDT,2024-09-20,2024-09-23,1.905,0.0973,18,bull,2024-H2,stop
ARB-USDT,2024-09-21,2024-09-24,-0.415,-0.0187,15,bull,2024-H2,time
SUI-USDT,2024-09-22,2024-09-26,0.320,0.0254,24,bull,2024-H2,stop
INJ-USDT,2024-09-23,2024-09-25,0.021,0.0013,13,bull,2024-H2,signal
AAVE-USDT,2024-09-23,2024-09-25,-0.843,-0.0496,15,bull,2024-H2,time
GRT-USDT,2024-09-23,2024-09-26,0.019,0.0012,15,bull,2024-H2,stop
NEAR-USDT,2024-09-24,2024-09-28,0.244,0.0169,24,bull,2024-H2,stop
INJ-USDT,2024-09-25,2024-09-27,0.365,0.0232,11,bull,2024-H2,signal
APT-USDT,2024-09-26,2024-09-28,-0.675,-0.0446,15,bull,2024-H2,time
SHIB-USDT,2024-09-26,2024-09-30,2.264,0.1319,21,bull,2024-H2,stop
GRT-USDT,2024-09-27,2024-09-30,-0.528,-0.0297,15,bull,2024-H2,time
OP-USDT,2024-09-27,2024-09-30,-0.334,-0.0178,15,bull,2024-H2,time
SUI-USDT,2024-09-29,2024-09-30,-0.410,-0.0292,5,bull,2024-H2,regime
UNI-USDT,2024-10-07,2024-10-08,-0.173,-0.0077,5,bull,2024-H2,regime
BTC-USDT,2024-10-07,2024-10-07,-1.111,-0.0257,1,bull,2024-H2,stop
SUI-USDT,2024-10-07,2024-10-08,-0.417,-0.0348,2,bull,2024-H2,regime
TRX-USDT,2024-10-08,2024-10-09,2.248,0.0273,8,bull,2024-H2,regime
APT-USDT,2024-10-08,2024-10-09,-0.722,-0.0589,6,bull,2024-H2,regime
SHIB-USDT,2024-10-11,2024-10-14,0.137,0.0076,15,bull,2024-H2,time
AVAX-USDT,2024-10-12,2024-10-15,-0.058,-0.0025,20,bull,2024-H2,stop
SUI-USDT,2024-10-12,2024-10-15,0.004,0.0003,15,bull,2024-H2,time
APT-USDT,2024-10-12,2024-10-16,0.543,0.0345,22,bull,2024-H2,stop
AAVE-USDT,2024-10-13,2024-10-15,0.076,0.0033,17,bull,2024-H2,signal
OP-USDT,2024-10-14,2024-10-16,-0.683,-0.0313,15,bull,2024-H2,time
GRT-USDT,2024-10-14,2024-10-16,-1.076,-0.0554,13,bull,2024-H2,stop
DOGE-USDT,2024-10-16,2024-10-22,3.258,0.1694,37,bull,2024-H2,regime
BTC-USDT,2024-10-18,2024-10-21,0.009,0.0002,15,bull,2024-H2,time
MANA-USDT,2024-10-18,2024-10-21,0.112,0.0051,16,bull,2024-H2,stop
SAND-USDT,2024-10-19,2024-10-21,0.155,0.0066,15,bull,2024-H2,time
OP-USDT,2024-10-20,2024-10-21,-0.686,-0.0308,6,bull,2024-H2,signal
APT-USDT,2024-10-20,2024-10-22,1.515,0.0698,11,bull,2024-H2,regime
ATOM-USDT,2024-10-21,2024-10-22,-0.432,-0.0155,7,bull,2024-H2,regime
TRX-USDT,2024-10-25,2024-10-25,-0.425,-0.0055,1,bull,2024-H2,regime
TRX-USDT,2024-10-25,2024-10-25,-0.323,-0.0045,1,bull,2024-H2,regime
DOGE-USDT,2024-10-28,2024-10-31,2.311,0.1245,18,bull,2024-H2,stop
SOL-USDT,2024-10-29,2024-10-30,-1.072,-0.0444,8,bull,2024-H2,stop
BCH-USDT,2024-10-29,2024-10-31,-1.101,-0.0457,14,bull,2024-H2,stop
BTC-USDT,2024-10-29,2024-10-31,-1.111,-0.0257,11,bull,2024-H2,stop
TRX-USDT,2024-10-30,2024-11-01,-0.284,-0.0037,11,bull,2024-H2,stop
UNI-USDT,2024-10-30,2024-10-31,-1.086,-0.0525,5,bull,2024-H2,stop
SHIB-USDT,2024-11-06,2024-11-07,-0.396,-0.0252,10,bull,2024-H2,signal
BTC-USDT,2024-11-06,2024-11-08,0.681,0.0251,15,bull,2024-H2,time
INJ-USDT,2024-11-06,2024-11-13,2.522,0.1649,40,bull,2024-H2,stop
AAVE-USDT,2024-11-06,2024-11-10,2.256,0.1517,26,bull,2024-H2,stop
ADA-USDT,2024-11-08,2024-11-12,6.149,0.2889,28,bull,2024-H2,stop
LINK-USDT,2024-11-08,2024-11-11,0.789,0.0374,16,bull,2024-H2,signal
DOGE-USDT,2024-11-10,2024-11-17,5.341,0.4415,41,bull,2024-H2,stop
AVAX-USDT,2024-11-12,2024-11-12,-1.042,-0.0793,0,bull,2024-H2,stop
SUI-USDT,2024-11-13,2024-11-19,0.424,0.0507,35,bull,2024-H2,stop
ALGO-USDT,2024-11-15,2024-11-17,0.533,0.0539,12,bull,2024-H2,stop
ADA-USDT,2024-11-15,2024-11-24,3.742,0.4445,53,bull,2024-H2,stop
ALGO-USDT,2024-11-18,2024-11-21,-0.129,-0.0140,17,bull,2024-H2,stop
DOGE-USDT,2024-11-19,2024-11-21,-0.131,-0.0127,15,bull,2024-H2,time
XRP-USDT,2024-11-21,2024-11-24,2.216,0.2337,15,bull,2024-H2,stop
ALGO-USDT,2024-11-22,2024-11-24,1.585,0.1588,14,bull,2024-H2,stop
CRV-USDT,2024-11-22,2024-11-25,1.716,0.1909,19,bull,2024-H2,regime
XRP-USDT,2024-11-29,2024-11-30,1.185,0.1059,5,bull,2024-H2,regime
SAND-USDT,2024-11-30,2024-12-02,-1.037,-0.1142,10,bull,2024-H2,stop
MANA-USDT,2024-11-30,2024-12-02,-0.845,-0.0742,11,bull,2024-H2,regime
XLM-USDT,2024-12-02,2024-12-02,-1.032,-0.1128,2,bull,2024-H2,stop
CRV-USDT,2024-12-02,2024-12-02,0.229,0.0236,2,bull,2024-H2,regime
XLM-USDT,2024-12-02,2024-12-03,-0.623,-0.0767,4,bull,2024-H2,regime
SAND-USDT,2024-12-03,2024-12-03,0.886,0.0929,2,bull,2024-H2,regime
MANA-USDT,2024-12-03,2024-12-03,-0.266,-0.0263,1,bull,2024-H2,regime
LTC-USDT,2024-12-05,2024-12-08,-0.718,-0.0708,15,bull,2024-H2,time
LINK-USDT,2024-12-09,2024-12-09,-0.966,-0.0781,2,bull,2024-H2,regime
LINK-USDT,2024-12-12,2024-12-15,0.412,0.0435,22,bull,2024-H2,stop
BTC-USDT,2024-12-16,2024-12-18,-0.154,-0.0041,15,bull,2024-H2,time
XRP-USDT,2024-12-17,2024-12-18,-1.044,-0.0692,4,bull,2024-H2,stop
TRX-USDT,2024-12-27,2024-12-27,-0.597,-0.0186,1,bear,2024-H2,regime
ALGO-USDT,2024-12-31,2024-12-31,-0.460,-0.0374,1,bear,2024-H2,regime
LTC-USDT,2024-12-31,2024-12-31,-0.337,-0.0173,1,bear,2024-H2,regime
SOL-USDT,2025-01-02,2025-01-05,0.732,0.0338,18,bear,2025-H1,stop
AVAX-USDT,2025-01-02,2025-01-03,0.707,0.0362,8,bear,2025-H1,signal
XLM-USDT,2025-01-03,2025-01-05,-0.482,-0.0391,15,bear,2025-H1,time
ADA-USDT,2025-01-03,2025-01-07,0.541,0.0311,26,bear,2025-H1,stop
SAND-USDT,2025-01-03,2025-01-03,-0.215,-0.0140,1,bear,2025-H1,signal
CRV-USDT,2025-01-03,2025-01-04,-0.116,-0.0085,3,bear,2025-H1,signal
DOGE-USDT,2025-01-03,2025-01-06,0.136,0.0069,15,range,2025-H1,time
SUI-USDT,2025-01-04,2025-01-06,0.408,0.0230,17,range,2025-H1,stop
ARB-USDT,2025-01-05,2025-01-07,-0.339,-0.0168,13,range,2025-H1,stop
FIL-USDT,2025-01-06,2025-01-06,-1.074,-0.0563,4,range,2025-H1,stop
SAND-USDT,2025-01-06,2025-01-07,-1.055,-0.0664,6,range,2025-H1,stop
INJ-USDT,2025-01-06,2025-01-07,-1.086,-0.0581,5,range,2025-H1,stop
BTC-USDT,2025-01-14,2025-01-18,2.315,0.0754,21,bear,2025-H1,signal
DOGE-USDT,2025-01-14,2025-01-19,1.928,0.1114,28,bear,2025-H1,stop
XRP-USDT,2025-01-14,2025-01-18,3.046,0.1808,20,bear,2025-H1,stop
ALGO-USDT,2025-01-15,2025-01-18,2.196,0.1732,18,bear,2025-H1,stop
